iter	Passed	Remaining
0	1	117
1	2	116
2	3	107
3	4	101
4	5	104
5	6	103
6	7	100
7	8	98
8	9	97
9	10	96
10	11	94
11	12	92
12	13	91
13	14	89
14	15	88
15	16	87
16	17	87
17	18	86
18	19	84
19	20	83
20	21	81
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	27	75
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	63	35
64	65	35
65	66	34
66	67	33
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
